DRAW_NUMBER,DATE,YEAR_DRAW,NUMBER_1,NUMBER_2,NUMBER_3,NUMBER_4,NUMBER_5,STAR_1,STAR_2,NUMBER_OF_WINNERS,SORTEIO
1201,2019-03-26,2019-03,47,43,19,23,12,2,6,0,Terça-Feira
1202,2019-03-29,2019-03,13,23,26,47,32,6,10,0,Sexta-Feira
1203,2019-04-02,2019-04,9,26,16,2,36,6,7,0,Terça-Feira
1204,2019-04-05,2019-04,7,45,10,1,29,5,3,0,Sexta-Feira
1205,2019-04-09,2019-04,38,41,18,29,21,1,11,1,Terça-Feira
1206,2019-04-12,2019-04,46,28,1,35,36,6,9,0,Sexta-Feira
1207,2019-04-16,2019-04,1,49,15,8,44,2,11,0,Terça-Feira
1208,2019-04-19,2019-04,32,49,8,7,41,11,5,0,Sexta-Feira
1209,2019-04-23,2019-04,23,44,18,27,42,7,2,1,Terça-Feira
1210,2019-04-26,2019-04,33,35,50,47,14,11,9,0,Sexta-Feira
1211,2019-04-30,2019-04,20,26,12,48,5,2,11,1,Terça-Feira
1212,2019-05-03,2019-05,2,20,27,43,9,5,6,0,Sexta-Feira
1213,2019-05-07,2019-05,32,20,47,7,26,2,11,1,Terça-Feira
1214,2019-05-10,2019-05,1,45,27,4,48,7,1,0,Sexta-Feira
1215,2019-05-14,2019-05,14,25,50,10,17,2,10,0,Terça-Feira
1216,2019-05-17,2019-05,42,16,28,43,45,6,7,0,Sexta-Feira
1217,2019-05-21,2019-05,47,32,34,33,39,12,8,0,Terça-Feira
1218,2019-05-24,2019-05,5,30,49,23,16,7,6,0,Sexta-Feira
1219,2019-05-28,2019-05,28,7,29,19,20,1,5,2,Terça-Feira
1220,2019-05-31,2019-05,1,26,23,35,24,11,1,0,Sexta-Feira
1221,2019-06-04,2019-06,31,32,9,39,41,8,2,0,Terça-Feira
1222,2019-06-07,2019-06,34,16,4,1,20,2,5,0,Sexta-Feira
1223,2019-06-11,2019-06,27,46,42,25,39,11,12,1,Terça-Feira
1224,2019-06-14,2019-06,30,1,39,13,31,2,7,0,Sexta-Feira
1225,2019-06-18,2019-06,44,40,12,37,24,3,7,0,Terça-Feira
1226,2019-06-21,2019-06,9,8,39,25,5,3,7,0,Sexta-Feira
1227,2019-06-25,2019-06,27,34,6,26,46,1,9,0,Terça-Feira
1228,2019-06-28,2019-06,1,33,3,49,16,2,11,0,Sexta-Feira
1229,2019-07-02,2019-07,19,44,11,29,45,12,8,0,Terça-Feira
1230,2019-07-05,2019-07,20,2,42,34,9,9,6,0,Sexta-Feira
1231,2019-07-09,2019-07,32,7,41,36,29,7,6,0,Terça-Feira
1232,2019-07-12,2019-07,2,31,39,45,47,8,4,0,Sexta-Feira
1233,2019-07-16,2019-07,5,13,18,39,3,8,7,0,Terça-Feira
1234,2019-07-19,2019-07,26,17,13,14,28,7,2,1,Sexta-Feira
1235,2019-07-23,2019-07,38,19,23,1,14,7,3,0,Terça-Feira
1236,2019-07-26,2019-07,27,2,42,5,37,10,3,0,Sexta-Feira
1237,2019-07-30,2019-07,15,27,23,40,20,3,6,0,Terça-Feira
1238,2019-08-02,2019-08,33,44,13,22,50,5,2,0,Sexta-Feira
1239,2019-08-06,2019-08,38,12,29,36,13,4,12,0,Terça-Feira
1240,2019-08-09,2019-08,35,41,14,2,42,11,10,0,Sexta-Feira
1241,2019-08-13,2019-08,31,13,33,29,40,2,3,0,Terça-Feira
1242,2019-08-16,2019-08,9,42,10,27,37,1,5,0,Sexta-Feira
1243,2019-08-20,2019-08,23,24,22,20,37,1,4,0,Terça-Feira
1244,2019-08-23,2019-08,4,17,42,45,35,8,2,0,Sexta-Feira
1245,2019-08-27,2019-08,26,8,35,47,43,9,1,0,Terça-Feira
1246,2019-08-30,2019-08,45,49,27,46,25,6,4,0,Sexta-Feira
1247,2019-09-03,2019-09,44,11,38,7,39,10,7,0,Terça-Feira
1248,2019-09-06,2019-09,13,22,40,10,48,5,2,0,Sexta-Feira
1249,2019-09-10,2019-09,3,30,49,25,22,3,6,0,Terça-Feira
1250,2019-09-13,2019-09,12,1,42,47,27,6,7,0,Sexta-Feira
1251,2019-09-17,2019-09,22,45,43,44,37,1,12,0,Terça-Feira
1252,2019-09-20,2019-09,25,50,21,38,8,4,8,0,Sexta-Feira
1253,2019-09-24,2019-09,2,48,33,47,42,1,2,0,Terça-Feira
1254,2019-09-27,2019-09,46,43,41,37,24,8,2,0,Sexta-Feira
1255,2019-10-01,2019-10,40,18,11,2,46,4,1,0,Terça-Feira
1256,2019-10-04,2019-10,44,41,35,9,6,9,6,0,Sexta-Feira
1257,2019-10-08,2019-10,44,15,49,10,7,3,12,1,Terça-Feira
1258,2019-10-11,2019-10,42,45,19,2,14,5,6,0,Sexta-Feira
1259,2019-10-15,2019-10,3,34,31,32,28,4,5,0,Terça-Feira
1260,2019-10-18,2019-10,18,22,42,41,8,11,12,0,Sexta-Feira
1261,2019-10-22,2019-10,2,5,33,47,32,7,8,0,Terça-Feira
1262,2019-10-25,2019-10,37,50,34,39,40,4,10,0,Sexta-Feira
1263,2019-10-29,2019-10,49,42,28,16,18,10,5,0,Terça-Feira
1264,2019-11-01,2019-11,39,2,44,20,48,5,7,0,Sexta-Feira
1265,2019-11-05,2019-11,25,14,33,9,48,12,2,0,Terça-Feira
1266,2019-11-08,2019-11,20,8,45,23,17,2,8,0,Sexta-Feira
1267,2019-11-12,2019-11,1,25,21,39,23,2,4,0,Terça-Feira
1268,2019-11-15,2019-11,20,13,34,3,32,4,11,0,Sexta-Feira
1269,2019-11-19,2019-11,10,15,42,30,8,4,6,1,Terça-Feira
1270,2019-11-22,2019-11,3,48,32,34,21,3,11,0,Sexta-Feira
1271,2019-11-26,2019-11,34,3,15,2,19,5,8,0,Terça-Feira
1272,2019-11-29,2019-11,50,42,12,3,7,6,8,0,Sexta-Feira
1273,2019-12-03,2019-12,32,31,38,18,48,12,4,1,Terça-Feira
1274,2019-12-06,2019-12,46,1,39,3,27,1,10,0,Sexta-Feira
1275,2019-12-10,2019-12,19,47,21,2,10,8,2,0,Terça-Feira
1276,2019-12-13,2019-12,16,9,23,18,32,2,10,0,Sexta-Feira
1277,2019-12-17,2019-12,7,1,12,25,49,6,9,1,Terça-Feira
1278,2019-12-20,2019-12,8,24,32,34,30,3,4,0,Sexta-Feira
1279,2019-12-24,2019-12,47,14,11,13,3,3,6,0,Terça-Feira
1280,2019-12-27,2019-12,22,26,35,7,1,5,10,0,Sexta-Feira
1281,2019-12-31,2019-12,41,31,48,33,26,4,2,0,Terça-Feira
1282,2020-01-03,2020-01,15,5,20,47,36,12,8,0,Sexta-Feira
1283,2020-01-07,2020-01,8,37,12,5,43,11,6,0,Terça-Feira
1284,2020-01-10,2020-01,32,44,17,6,46,2,6,0,Sexta-Feira
1285,2020-01-14,2020-01,25,39,21,44,29,9,8,0,Terça-Feira
1286,2020-01-17,2020-01,20,8,29,44,19,8,3,1,Sexta-Feira
1287,2020-01-21,2020-01,36,10,24,11,46,3,5,0,Terça-Feira
1288,2020-01-24,2020-01,9,6,4,3,24,8,5,1,Sexta-Feira
1289,2020-01-28,2020-01,31,27,1,19,38,5,4,0,Terça-Feira
1290,2020-01-31,2020-01,20,23,13,30,18,2,4,0,Sexta-Feira
1291,2020-02-04,2020-02,35,21,33,23,47,6,7,0,Terça-Feira
1292,2020-02-07,2020-02,17,15,9,25,40,9,3,1,Sexta-Feira
1293,2020-02-11,2020-02,43,26,24,32,46,6,10,1,Terça-Feira
1294,2020-02-14,2020-02,5,35,20,41,49,10,6,0,Sexta-Feira
1295,2020-02-18,2020-02,34,32,11,38,47,10,2,0,Terça-Feira
1296,2020-02-21,2020-02,32,23,30,45,7,5,9,0,Sexta-Feira
1297,2020-02-25,2020-02,4,42,18,27,1,6,4,0,Terça-Feira
1298,2020-02-28,2020-02,8,11,23,20,22,4,3,1,Sexta-Feira
1299,2020-03-03,2020-03,27,44,4,14,45,10,1,0,Terça-Feira
1300,2020-03-06,2020-03,15,43,38,45,46,11,1,0,Sexta-Feira
1301,2020-03-10,2020-03,23,43,30,11,37,5,12,0,Terça-Feira
1302,2020-03-13,2020-03,21,3,11,36,27,10,9,0,Sexta-Feira
1303,2020-03-17,2020-03,5,7,16,8,20,12,2,1,Terça-Feira
1304,2020-03-20,2020-03,40,9,20,34,3,6,12,1,Sexta-Feira
1305,2020-03-24,2020-03,33,12,7,26,30,11,10,0,Terça-Feira
1306,2020-03-27,2020-03,14,41,27,46,11,3,2,0,Sexta-Feira
1307,2020-03-31,2020-03,30,12,17,24,36,9,1,0,Terça-Feira
1308,2020-04-03,2020-04,50,16,34,19,46,2,6,0,Sexta-Feira
1309,2020-04-07,2020-04,33,14,4,48,5,7,12,0,Terça-Feira
1310,2020-04-10,2020-04,33,17,3,39,10,1,4,0,Sexta-Feira
1311,2020-04-14,2020-04,40,34,29,6,35,11,4,0,Terça-Feira
1312,2020-04-17,2020-04,37,32,45,28,16,1,11,1,Sexta-Feira
1313,2020-04-21,2020-04,11,10,23,14,28,6,8,0,Terça-Feira
1314,2020-04-24,2020-04,28,5,1,21,19,7,4,0,Sexta-Feira
1315,2020-04-28,2020-04,32,28,26,15,23,1,5,0,Terça-Feira
1316,2020-05-01,2020-05,47,20,19,45,38,2,6,0,Sexta-Feira
1317,2020-05-05,2020-05,2,27,22,10,41,3,2,0,Terça-Feira
1318,2020-05-08,2020-05,33,38,8,25,32,9,7,0,Sexta-Feira
1319,2020-05-12,2020-05,16,9,29,39,37,4,11,0,Terça-Feira
1320,2020-05-15,2020-05,34,23,32,39,11,1,6,1,Sexta-Feira
1321,2020-05-19,2020-05,43,32,37,25,5,6,7,0,Terça-Feira
1322,2020-05-22,2020-05,18,22,32,3,27,2,7,0,Sexta-Feira
1323,2020-05-26,2020-05,9,4,27,14,21,4,6,2,Terça-Feira
1324,2020-05-29,2020-05,4,11,8,46,19,4,8,1,Sexta-Feira
1325,2020-06-02,2020-06,49,22,12,26,10,11,7,0,Terça-Feira
1326,2020-06-05,2020-06,24,11,37,17,5,6,3,0,Sexta-Feira
1327,2020-06-09,2020-06,46,36,27,5,15,8,2,0,Terça-Feira
1328,2020-06-12,2020-06,24,39,46,2,45,4,8,1,Sexta-Feira
1329,2020-06-16,2020-06,39,9,11,4,17,2,10,0,Terça-Feira
1330,2020-06-19,2020-06,14,5,24,43,19,3,11,0,Sexta-Feira
1331,2020-06-23,2020-06,19,46,49,12,2,8,1,0,Terça-Feira
1332,2020-06-26,2020-06,12,26,21,1,10,5,11,0,Sexta-Feira
1333,2020-06-30,2020-06,11,42,1,28,6,2,10,0,Terça-Feira
1334,2020-07-03,2020-07,27,4,16,39,37,3,6,0,Sexta-Feira
1335,2020-07-07,2020-07,41,33,23,12,16,8,10,1,Terça-Feira
1336,2020-07-10,2020-07,30,38,15,17,23,2,7,0,Sexta-Feira
1337,2020-07-14,2020-07,30,22,37,11,47,9,10,0,Terça-Feira
1338,2020-07-17,2020-07,7,27,41,15,43,7,9,0,Sexta-Feira
1339,2020-07-21,2020-07,29,15,42,14,24,2,4,1,Terça-Feira
1340,2020-07-24,2020-07,8,28,50,27,9,12,4,0,Sexta-Feira
1341,2020-07-28,2020-07,34,17,13,9,15,7,2,0,Terça-Feira
1342,2020-07-31,2020-07,30,46,24,21,49,2,5,0,Sexta-Feira
1343,2020-08-04,2020-08,42,2,5,1,15,8,5,0,Terça-Feira
1344,2020-08-07,2020-08,36,20,5,41,21,11,6,0,Sexta-Feira
1345,2020-08-11,2020-08,14,13,50,8,42,3,9,0,Terça-Feira
1346,2020-08-14,2020-08,49,10,42,9,19,4,12,0,Sexta-Feira
1347,2020-08-18,2020-08,12,34,42,17,6,12,5,0,Terça-Feira
1348,2020-08-21,2020-08,10,35,50,15,44,5,3,0,Sexta-Feira
1349,2020-08-25,2020-08,18,37,39,30,7,10,8,0,Terça-Feira
1350,2020-08-28,2020-08,31,16,17,7,12,9,7,0,Sexta-Feira
1351,2020-09-01,2020-09,46,8,4,33,10,8,11,1,Terça-Feira
1352,2020-09-04,2020-09,6,29,43,40,22,7,4,0,Sexta-Feira
1353,2020-09-08,2020-09,9,35,2,41,31,12,9,0,Terça-Feira
1354,2020-09-11,2020-09,34,38,45,43,42,12,9,0,Sexta-Feira
1355,2020-09-15,2020-09,38,25,30,16,20,8,6,0,Terça-Feira
1356,2020-09-18,2020-09,25,45,19,2,10,1,7,0,Sexta-Feira
1357,2020-09-22,2020-09,28,39,25,40,16,1,6,0,Terça-Feira
1358,2020-09-25,2020-09,34,45,19,23,37,1,7,1,Sexta-Feira
1359,2020-09-29,2020-09,16,14,4,44,41,11,12,0,Terça-Feira
1360,2020-10-02,2020-10,15,45,12,6,40,9,3,1,Sexta-Feira
1361,2020-10-06,2020-10,41,36,4,21,47,11,9,0,Terça-Feira
1362,2020-10-09,2020-10,15,11,35,50,41,8,5,0,Sexta-Feira
1363,2020-10-13,2020-10,5,41,46,38,14,10,1,0,Terça-Feira
1364,2020-10-16,2020-10,15,40,38,33,50,6,3,0,Sexta-Feira
1365,2020-10-20,2020-10,15,5,42,37,6,4,3,0,Terça-Feira
1366,2020-10-23,2020-10,19,23,10,21,15,3,12,0,Sexta-Feira
1367,2020-10-27,2020-10,13,15,28,44,32,12,3,1,Terça-Feira
1368,2020-10-30,2020-10,21,16,20,12,28,9,3,0,Sexta-Feira
1369,2020-11-03,2020-11,5,7,18,20,30,7,6,0,Terça-Feira
1370,2020-11-06,2020-11,12,37,7,50,40,1,2,0,Sexta-Feira
1371,2020-11-10,2020-11,19,3,38,32,29,12,5,0,Terça-Feira
1372,2020-11-13,2020-11,31,17,1,28,5,1,10,0,Sexta-Feira
1373,2020-11-17,2020-11,30,25,44,19,16,6,2,0,Terça-Feira
1374,2020-11-20,2020-11,28,50,48,39,29,5,7,0,Sexta-Feira
1375,2020-11-24,2020-11,50,33,38,42,25,12,8,0,Terça-Feira
1376,2020-11-27,2020-11,8,14,16,5,2,9,8,0,Sexta-Feira
1377,2020-12-01,2020-12,29,49,20,14,47,12,4,0,Terça-Feira
1378,2020-12-04,2020-12,14,38,20,27,34,1,11,0,Sexta-Feira
1379,2020-12-08,2020-12,1,46,21,4,24,2,12,0,Terça-Feira
1380,2020-12-11,2020-12,41,13,24,9,6,3,12,1,Sexta-Feira
1381,2020-12-15,2020-12,21,9,35,13,29,2,1,0,Terça-Feira
1382,2020-12-18,2020-12,2,21,17,3,13,7,8,0,Sexta-Feira
1383,2020-12-22,2020-12,42,10,50,2,16,11,4,1,Terça-Feira
1384,2020-12-25,2020-12,16,21,27,30,32,3,5,0,Sexta-Feira
1385,2020-12-29,2020-12,7,40,39,45,32,8,3,0,Terça-Feira
1386,2021-01-01,2021-01,32,16,48,44,28,1,9,1,Sexta-Feira
1387,2021-01-05,2021-01,37,42,12,34,38,3,1,0,Terça-Feira
1388,2021-01-08,2021-01,42,23,37,41,18,4,6,0,Sexta-Feira
1389,2021-01-12,2021-01,10,34,2,35,18,6,9,0,Terça-Feira
1390,2021-01-15,2021-01,27,10,4,40,38,11,3,0,Sexta-Feira
1391,2021-01-19,2021-01,25,35,31,27,43,5,6,0,Terça-Feira
1392,2021-01-22,2021-01,16,47,42,8,44,7,6,1,Sexta-Feira
1393,2021-01-26,2021-01,7,37,25,40,5,2,8,0,Terça-Feira
1394,2021-01-29,2021-01,27,36,5,42,1,6,1,0,Sexta-Feira
1395,2021-02-02,2021-02,38,18,48,20,35,9,12,0,Terça-Feira
1396,2021-02-05,2021-02,45,12,37,19,44,6,2,0,Sexta-Feira
1397,2021-02-09,2021-02,24,5,31,10,37,9,10,0,Terça-Feira
1398,2021-02-12,2021-02,32,7,36,30,23,12,8,0,Sexta-Feira
1399,2021-02-16,2021-02,30,25,29,9,5,6,7,0,Terça-Feira
1400,2021-02-19,2021-02,25,48,4,46,12,12,7,0,Sexta-Feira
1401,2021-02-23,2021-02,30,9,39,18,45,3,1,0,Terça-Feira
1402,2021-02-26,2021-02,6,12,22,29,33,11,6,1,Sexta-Feira
1403,2021-03-02,2021-03,24,49,19,26,2,6,7,0,Terça-Feira
1404,2021-03-05,2021-03,4,46,5,39,48,7,10,0,Sexta-Feira
1405,2021-03-09,2021-03,16,21,33,32,1,11,12,0,Terça-Feira
1406,2021-03-12,2021-03,11,4,6,44,9,10,11,0,Sexta-Feira
1407,2021-03-16,2021-03,32,25,23,47,35,2,6,0,Terça-Feira
1408,2021-03-19,2021-03,35,44,43,9,3,10,1,0,Sexta-Feira
1409,2021-03-23,2021-03,2,26,29,36,49,3,9,0,Terça-Feira
1410,2021-03-26,2021-03,49,12,50,10,37,8,3,0,Sexta-Feira
1411,2021-03-30,2021-03,42,24,29,28,27,8,4,0,Terça-Feira
1412,2021-04-02,2021-04,21,47,4,40,34,2,5,1,Sexta-Feira
1413,2021-04-06,2021-04,50,21,37,38,2,8,7,0,Terça-Feira
1414,2021-04-09,2021-04,44,8,35,32,2,8,11,0,Sexta-Feira
1415,2021-04-13,2021-04,47,16,31,50,20,8,2,0,Terça-Feira
1416,2021-04-16,2021-04,29,11,40,48,6,9,5,0,Sexta-Feira
1417,2021-04-20,2021-04,28,46,17,5,41,11,10,1,Terça-Feira
1418,2021-04-23,2021-04,29,19,15,3,14,2,8,0,Sexta-Feira
1419,2021-04-27,2021-04,13,49,14,24,35,1,10,0,Terça-Feira
1420,2021-04-30,2021-04,1,28,24,46,16,11,2,0,Sexta-Feira
1421,2021-05-04,2021-05,46,13,10,28,3,11,4,0,Terça-Feira
1422,2021-05-07,2021-05,33,38,47,22,14,9,8,1,Sexta-Feira
1423,2021-05-11,2021-05,14,46,43,34,25,6,5,0,Terça-Feira
1424,2021-05-14,2021-05,6,38,29,16,18,6,11,0,Sexta-Feira
1425,2021-05-18,2021-05,13,39,40,38,5,4,12,0,Terça-Feira
1426,2021-05-21,2021-05,9,13,35,2,15,10,3,0,Sexta-Feira
1427,2021-05-25,2021-05,38,21,26,1,30,8,2,0,Terça-Feira
1428,2021-05-28,2021-05,16,40,13,11,34,1,12,0,Sexta-Feira
1429,2021-06-01,2021-06,35,10,44,3,26,7,6,0,Terça-Feira
1430,2021-06-04,2021-06,40,20,36,46,7,2,4,1,Sexta-Feira
1431,2021-06-08,2021-06,47,26,2,36,11,9,7,0,Terça-Feira
1432,2021-06-11,2021-06,17,33,9,21,39,7,11,1,Sexta-Feira
1433,2021-06-15,2021-06,30,31,11,26,21,2,3,0,Terça-Feira
1434,2021-06-18,2021-06,27,20,41,11,30,3,5,0,Sexta-Feira
1435,2021-06-22,2021-06,27,24,26,6,41,8,3,0,Terça-Feira
1436,2021-06-25,2021-06,33,29,36,1,30,12,3,0,Sexta-Feira
1437,2021-06-29,2021-06,6,12,24,20,48,6,5,0,Terça-Feira
1438,2021-07-02,2021-07,49,29,38,9,14,7,10,1,Sexta-Feira
1439,2021-07-06,2021-07,2,42,5,27,21,9,11,1,Terça-Feira
1440,2021-07-09,2021-07,37,19,6,36,49,11,4,0,Sexta-Feira
1441,2021-07-13,2021-07,22,11,6,8,5,3,4,1,Terça-Feira
1442,2021-07-16,2021-07,47,5,16,42,49,3,11,0,Sexta-Feira
1443,2021-07-20,2021-07,19,48,3,41,12,6,9,0,Terça-Feira
1444,2021-07-23,2021-07,34,50,26,23,24,4,2,0,Sexta-Feira
1445,2021-07-27,2021-07,19,21,25,5,9,12,10,0,Terça-Feira
1446,2021-07-30,2021-07,23,10,35,33,37,5,10,0,Sexta-Feira
1447,2021-08-03,2021-08,46,23,45,21,17,7,11,0,Terça-Feira
1448,2021-08-06,2021-08,32,21,7,26,14,12,4,0,Sexta-Feira
1449,2021-08-10,2021-08,47,9,48,49,37,2,7,0,Terça-Feira
1450,2021-08-13,2021-08,49,44,47,12,6,8,12,1,Sexta-Feira
1451,2021-08-17,2021-08,47,12,41,42,31,6,4,0,Terça-Feira
1452,2021-08-20,2021-08,3,19,9,20,23,11,9,0,Sexta-Feira
1453,2021-08-24,2021-08,21,36,44,19,50,3,10,0,Terça-Feira
1454,2021-08-27,2021-08,31,46,3,50,2,12,8,0,Sexta-Feira
1455,2021-08-31,2021-08,17,5,32,13,43,2,10,3,Terça-Feira
1456,2021-09-03,2021-09,5,13,29,35,7,3,7,0,Sexta-Feira
1457,2021-09-07,2021-09,42,7,19,35,43,7,9,1,Terça-Feira
1458,2021-09-10,2021-09,6,7,28,18,1,2,8,0,Sexta-Feira
1459,2021-09-14,2021-09,12,38,45,18,35,2,8,0,Terça-Feira
1460,2021-09-17,2021-09,10,7,5,8,34,9,1,0,Sexta-Feira
1461,2021-09-21,2021-09,20,25,26,30,38,8,2,0,Terça-Feira
1462,2021-09-24,2021-09,27,12,20,2,41,10,12,0,Sexta-Feira
1463,2021-09-28,2021-09,12,7,6,33,39,7,1,0,Terça-Feira
1464,2021-10-01,2021-10,1,19,15,48,26,6,12,0,Sexta-Feira
1465,2021-10-05,2021-10,45,14,36,13,11,7,9,0,Terça-Feira
1466,2021-10-08,2021-10,10,42,23,46,1,3,5,0,Sexta-Feira
1467,2021-10-12,2021-10,13,45,22,6,49,10,11,0,Terça-Feira
1468,2021-10-15,2021-10,49,21,26,34,31,5,2,1,Sexta-Feira
1469,2021-10-19,2021-10,40,4,36,41,20,1,6,0,Terça-Feira
1470,2021-10-22,2021-10,33,12,17,39,22,2,12,0,Sexta-Feira
1471,2021-10-26,2021-10,12,44,42,15,20,2,1,0,Terça-Feira
1472,2021-10-29,2021-10,28,10,32,15,49,9,3,0,Sexta-Feira
1473,2021-11-02,2021-11,29,43,2,3,17,4,1,0,Terça-Feira
1474,2021-11-05,2021-11,41,25,2,12,30,11,8,0,Sexta-Feira
1475,2021-11-09,2021-11,33,25,36,26,17,8,1,0,Terça-Feira
1476,2021-11-12,2021-11,50,15,9,47,2,9,6,0,Sexta-Feira
1477,2021-11-16,2021-11,9,32,36,19,21,4,3,0,Terça-Feira
1478,2021-11-19,2021-11,50,26,47,22,38,6,2,0,Sexta-Feira
1479,2021-11-23,2021-11,21,17,42,36,46,10,7,0,Terça-Feira
1480,2021-11-26,2021-11,50,20,41,42,1,3,7,1,Sexta-Feira
1481,2021-11-30,2021-11,43,19,33,26,20,4,1,0,Terça-Feira
1482,2021-12-03,2021-12,46,21,32,22,29,9,10,0,Sexta-Feira
1483,2021-12-07,2021-12,22,31,46,47,38,7,11,1,Terça-Feira
1484,2021-12-10,2021-12,11,21,42,38,33,8,2,0,Sexta-Feira
1485,2021-12-14,2021-12,37,19,47,21,48,3,6,0,Terça-Feira
1486,2021-12-17,2021-12,30,1,35,2,15,2,7,0,Sexta-Feira
1487,2021-12-21,2021-12,34,38,17,12,21,2,3,0,Terça-Feira
1488,2021-12-24,2021-12,41,2,34,26,28,10,5,0,Sexta-Feira
1489,2021-12-28,2021-12,4,29,15,17,6,9,12,1,Terça-Feira
1490,2021-12-31,2021-12,25,7,43,22,49,7,6,1,Sexta-Feira
1491,2022-01-04,2022-01,28,41,18,35,36,6,11,0,Terça-Feira
1492,2022-01-07,2022-01,14,2,50,37,44,7,11,0,Sexta-Feira
1493,2022-01-11,2022-01,33,23,44,32,4,12,9,0,Terça-Feira
1494,2022-01-14,2022-01,25,6,46,17,31,12,9,0,Sexta-Feira
1495,2022-01-18,2022-01,12,30,24,3,19,5,2,1,Terça-Feira
1496,2022-01-21,2022-01,5,35,39,14,36,12,7,0,Sexta-Feira
1497,2022-01-25,2022-01,16,6,47,18,39,2,4,0,Terça-Feira
1498,2022-01-28,2022-01,34,10,25,29,45,10,9,0,Sexta-Feira
1499,2022-02-01,2022-02,49,36,1,19,38,9,6,0,Terça-Feira
1500,2022-02-04,2022-02,49,38,3,25,43,7,3,1,Sexta-Feira
1501,2022-02-08,2022-02,43,34,20,6,37,7,10,0,Terça-Feira
1502,2022-02-11,2022-02,45,13,42,18,38,7,11,1,Sexta-Feira
1503,2022-02-15,2022-02,33,20,31,9,44,12,2,0,Terça-Feira
1504,2022-02-18,2022-02,25,41,50,43,38,6,10,0,Sexta-Feira
1505,2022-02-22,2022-02,26,32,14,5,9,7,3,0,Terça-Feira
1506,2022-02-25,2022-02,24,10,30,42,13,1,5,0,Sexta-Feira
1507,2022-03-01,2022-03,26,24,42,39,8,5,3,0,Terça-Feira
1508,2022-03-04,2022-03,40,20,43,6,42,10,12,1,Sexta-Feira
1509,2022-03-08,2022-03,18,12,31,25,21,9,2,0,Terça-Feira
1510,2022-03-11,2022-03,23,22,12,19,48,6,2,0,Sexta-Feira
1511,2022-03-15,2022-03,2,26,19,12,1,8,2,0,Terça-Feira
1512,2022-03-18,2022-03,43,1,9,14,17,12,6,2,Sexta-Feira
1513,2022-03-22,2022-03,7,29,17,40,21,8,11,0,Terça-Feira
1514,2022-03-25,2022-03,10,29,24,6,27,12,5,0,Sexta-Feira
1515,2022-03-29,2022-03,43,33,11,8,42,11,6,0,Terça-Feira
1516,2022-04-01,2022-04,21,45,31,2,7,10,4,0,Sexta-Feira
1517,2022-04-05,2022-04,13,1,24,11,49,5,6,0,Terça-Feira
1518,2022-04-08,2022-04,16,38,1,45,15,4,11,0,Sexta-Feira
1519,2022-04-12,2022-04,30,47,35,31,21,10,2,0,Terça-Feira
1520,2022-04-15,2022-04,32,48,6,24,30,6,5,0,Sexta-Feira
1521,2022-04-19,2022-04,28,46,2,17,12,10,6,0,Terça-Feira
1522,2022-04-22,2022-04,11,6,35,36,21,9,1,0,Sexta-Feira
1523,2022-04-26,2022-04,25,4,28,34,45,11,8,0,Terça-Feira
1524,2022-04-29,2022-04,37,36,10,20,11,7,3,0,Sexta-Feira
1525,2022-05-03,2022-05,26,48,47,8,20,8,3,0,Terça-Feira
1526,2022-05-06,2022-05,3,24,8,18,40,11,3,0,Sexta-Feira
1527,2022-05-10,2022-05,28,3,29,25,27,4,9,1,Terça-Feira
1528,2022-05-13,2022-05,11,45,17,48,3,8,4,0,Sexta-Feira
1529,2022-05-17,2022-05,49,28,30,5,48,5,11,0,Terça-Feira
1530,2022-05-20,2022-05,32,23,8,22,50,3,9,0,Sexta-Feira
1531,2022-05-24,2022-05,27,13,10,36,37,10,2,1,Terça-Feira
1532,2022-05-27,2022-05,15,34,28,48,23,3,5,0,Sexta-Feira
1533,2022-05-31,2022-05,42,13,10,49,3,3,9,0,Terça-Feira
1534,2022-06-03,2022-06,29,12,48,28,34,9,11,0,Sexta-Feira
1535,2022-06-07,2022-06,17,6,31,25,16,2,6,0,Terça-Feira
1536,2022-06-10,2022-06,37,26,40,17,36,9,12,1,Sexta-Feira
1537,2022-06-14,2022-06,7,40,2,27,34,3,11,0,Terça-Feira
1538,2022-06-17,2022-06,21,22,38,19,31,7,11,0,Sexta-Feira
1539,2022-06-21,2022-06,23,36,39,6,47,10,8,0,Terça-Feira
1540,2022-06-24,2022-06,50,44,17,10,28,12,8,0,Sexta-Feira
1541,2022-06-28,2022-06,35,10,47,42,48,11,2,0,Terça-Feira
1542,2022-07-01,2022-07,46,6,34,24,18,12,3,0,Sexta-Feira
1543,2022-07-05,2022-07,7,25,48,45,10,3,6,0,Terça-Feira
1544,2022-07-08,2022-07,28,46,43,35,31,7,4,0,Sexta-Feira
1545,2022-07-12,2022-07,50,18,25,24,14,11,6,0,Terça-Feira
1546,2022-07-15,2022-07,38,17,29,9,39,10,7,0,Sexta-Feira
1547,2022-07-19,2022-07,41,6,27,40,23,2,12,1,Terça-Feira
1548,2022-07-22,2022-07,32,29,50,18,16,11,4,0,Sexta-Feira
1549,2022-07-26,2022-07,3,5,17,27,25,9,1,0,Terça-Feira
1550,2022-07-29,2022-07,38,48,43,23,3,8,3,1,Sexta-Feira
1551,2022-08-02,2022-08,28,48,18,40,7,11,8,0,Terça-Feira
